id,date,vaccines,tests,recovered,deaths,hosp,vent,icu,population,new_confirmed,confirmed
DEU,2020-02-28,0,0,105,1,0,0,0,82905782,23,23
DPC,2020-02-28,0,0,10,6,0,0,0,3711,0,570
IRN,2020-02-28,0,0,73,34,0,0,0,81800269,205,454
ITA,2020-02-28,0,15695,46,21,409,0,64,60421760,240,899
JPN,2020-02-28,0,2209,41,4,165,0,20,126529100,20,125
KOR,2020-02-28,0,70940,22,13,0,0,0,51606633,813,3046
CHN,2020-02-29,0,0,0,2838,0,0,0,1392730000,579,79843
DEU,2020-02-29,0,0,128,1,0,0,0,82905782,35,58
DPC,2020-02-29,0,0,10,6,0,0,0,3711,0,570
FRA,2020-02-29,0,0,12,0,0,0,0,66977107,45,45
IRN,2020-02-29,0,0,123,43,0,0,0,81800269,385,839
ITA,2020-02-29,0,18661,50,29,506,0,105,60421760,566,1465
JPN,2020-02-29,0,2339,42,5,180,0,22,126529100,9,134
KOR,2020-02-29,0,85693,27,16,0,0,0,51606633,586,3632
SGP,2020-02-29,0,0,72,0,0,0,0,5638676,4,4
CHN,2020-03-01,0,0,0,2873,0,0,0,1392730000,206,80049
DEU,2020-03-01,0,0,163,1,0,0,0,82905782,41,99
DPC,2020-03-01,0,0,10,6,0,0,0,3711,0,570
FRA,2020-03-01,0,0,12,0,0,0,0,66977107,46,91
IRN,2020-03-01,0,0,175,54,0,0,0,81800269,523,1362
ITA,2020-03-01,0,21127,83,34,779,0,140,60421760,342,1807
JPN,2020-03-01,0,2517,42,5,192,0,23,126529100,15,149
KOR,2020-03-01,0,96985,30,17,0,0,0,51606633,599,4231
SGP,2020-03-01,0,0,72,0,0,0,0,5638676,2,6
CHN,2020-03-02,0,0,0,2915,0,0,0,1392730000,128,80177
DEU,2020-03-02,0,0,204,1,0,0,0,82905782,84,183
DPC,2020-03-02,0,0,10,6,0,0,0,3711,1,571
ESP,2020-03-02,0,0,2,0,0,0,0,46796540,45,45
FRA,2020-03-02,0,0,12,0,0,0,0,66977107,21,112
GBR,2020-03-02,0,0,8,1,0,0,0,66460344,57,57
IRN,2020-03-02,0,0,291,66,0,0,0,81800269,835,2197
ITA,2020-03-02,0,23345,149,52,908,0,166,60421760,466,2273
JPN,2020-03-02,0,2613,43,6,205,0,23,126529100,14,163
KOR,2020-03-02,0,109591,30,28,0,0,0,51606633,851,5082
SGP,2020-03-02,0,0,78,0,0,0,0,5638676,2,8
CHE,2020-03-03,0,0,2,0,0,0,0,8513227,61,61
CHN,2020-03-03,0,0,0,2948,0,0,0,1392730000,120,80297
DEU,2020-03-03,0,0,288,1,0,0,0,82905782,157,340
DPC,2020-03-03,0,0,10,6,0,0,0,3711,0,571
ESP,2020-03-03,0,0,2,1,0,0,0,46796540,57,102
FRA,2020-03-03,0,0,12,0,0,0,0,66977107,73,185
GBR,2020-03-03,0,0,8,3,0,0,0,66460344,56,113
IRN,2020-03-03,0,0,291,77,0,0,0,81800269,586,2783
ITA,2020-03-03,0,25856,160,79,1263,0,229,60421760,587,2860
